chromosome	pval.human	pval.chimp	zeta.human	zeta.chimp	size	Specificity	maf_common	S_common	maf_rare	S_rare	eQTLs	PhastCons	PP_con	PP_acc	gene	dTSS	type
chr1:101490387-101490687	0.514188522929829	1	1.47159820788569	0.441048937704084	300	0.984127	0.0367	1	0.008	7	0	0.3685	0.9965264	0.07776249	DPH5	791	ncHAE
chr1:101620838-101621137	0.00960590709498188	0.903041939582682	3.11267817045232	0.684625405326923	299	0.984127	0.1141	6	0.0017	4	0	0.514	0.9993352	0.01648091	S1PR1	-81456	ncHAE
chr1:102133286-102133586	0.184223885780104	1	1.53212081621426	0.36192201074165	300	0.99206349	0.022	1	0.0028	1	0	0.013	0.9832471	0.215471	OLFM3	329150	ncHAE
chr1:102540047-102540346	0.00225227738949385	0.895440709921599	4.16945941788105	1.03225269207192	299	0.99206349	0.4587	2	0.003	3	0	0.102	0.999946	0.002412679	OLFM3	-77611	ncHAE
chr1:105537046-105537346	0.212767341646483	1	2.01151317036913	0.402057550135704	300	0.968254	0.2277	2	0.0012	3	0	0.834	0.9513846	0.3493288	AMY1C	1244168	ncHAE
chr1:10588931-10589267	0.0535491553843157	1	1.7487563056466	2.64046764595894e-14	336	0.5	0	0	0	0	0	NA	0.9998901	0.01299758	PEX14	54155	ncHAE
chr1:107219175-107219474	0.0720862883381335	1	2.27713545937917	0.484493756225888	299	0.968254	0.1124	2	0.003	2	0	0.964	0.9958429	0.06510307	PRMT6	-379976	ncHAE
chr1:11507849-11508148	0.137001046552379	1	2.65667612960004	0.49547125092983	299	0.9603175	0.153	6	0	0	0	NA	0.9871175	0.1456281	PTCHD2	-31296	ncHAE
chr1:116369133-116369433	1	1	0.907552886509694	0.0976312835082253	300	0.984127	0.040845	2	0.002	2	0	1	0.9994598	0.09163281	NHLH2	17255	ncHAE
chr1:116854431-116854730	0.00179191463133366	1	4.24230424428421	2.49777206178469e-14	299	0.9444444	0.0164	1	0.0028	1	0	0.803	0.9999997	3.42128e-05	ATP1A1	-61908	ncHAE
chr1:119279349-119279649	0.16356845975135	1	2.32508681276688	2.93184264964453e-14	300	0.99206349	0.4036	1	0.0062	1	0	0.0145	0.9951402	0.0903815	TBX15	252680	ncHAE
chr1:119675645-119675944	0.198576906195753	0.853970826011456	2.18061497809179	0.437312593825362	299	0.984127	0	0	0	0	0	0.984	0.9996446	0.02375762	WARS2	7499	ncHAE
chr1:146139521-146139820	1	1	0.416698474578993	0.353033310192382	299	0.99206349	0	0	0	0	0	0.999	0.5306696	0.9339709	NBPF11	-57038	ncHAE
chr1:146149885-146150231	0.886730122420591	0.230129631387309	0.393335079776327	2.10683974759673	346	0.99206349	0	0	0	0	0	1	0.8590428	0.7623733	NBPF11	-67425	ncHAE
chr1:146150271-146150718	0.0578648594217051	5.06367280649345e-05	1.77804563274649	3.65368753032508	447	0.99206349	0	0	0	0	0	1	0.9739687	0.1588678	NBPF11	-67862	ncHAE
chr1:158145034-158145334	0.124254679694844	1	2.16712707005922	0.452018877818563	300	0.99206349	0.24495	2	4e-04	3	2	0.9595	0.9982558	0.03963119	CD1D	-4553	ncHAE
chr1:163207617-163207928	0.683606783725822	1	1.30847293515313	0.348957522686824	311	0.9365079	0.1462	1	0.0024	2	1	1	0.9629606	0.31315	RGS5	-35080	ncHAE
chr1:163534055-163534355	0.0289177035435686	0.20830984304869	2.83401445645253	0.958527354679386	300	0.99206349	0.0178	1	6e-04	2	0	0.8295	0.9999882	0.001321842	NUF2	242461	ncHAE
chr1:164350217-164350516	0.0109672758603324	1	3.45943488822553	2.73895906169585e-14	299	0.769841	0.0278	5	0.0046	2	0	1	1	2.197011e-05	PBX1	-178505	ncHAE
chr1:164533074-164533374	0.631217023527767	1	1.3952933141964	0.674445266720856	300	0.896825	0.0807	1	0.003	1	0	1	0.9988364	0.07057277	PBX1	4352	ncHAE
chr1:170612032-170612332	0.407473586248165	1	1.565943665473	0.339916497703225	300	0.99206349	0.03385	6	0.0012	3	2	0.0865	0.9908473	0.12711	PRRX1	-20865	ncHAE
chr1:170717506-170717867	0.599684504568626	1	1.30507746764928	2.10615952911667e-14	361	0.99206349	0.1735	1	0.005	1	1	0.097	0.9655034	0.2561983	PRRX1	84640	ncHAE
chr1:172193546-172193845	0.270813067376454	1	1.96036515994951	3.30615792651853e-14	299	0.984127	0.1717	2	0.002	1	0	1	0.9999677	0.00659003	PIGC	219530	ncHAE
chr1:175535113-175535518	0.395668039492364	1	1.53220063453397	1.31811291847312e-14	405	0.99206349	0.0931	3	0.002	4	0	0.621	0.9970605	0.05236506	TNR	177590	ncHAE
chr1:175704645-175704945	0.00967941440852726	0.809878617062796	3.63423905519205	1.1901163678279	300	0.99206349	0.1106	3	0.0016	4	0	0.9945	0.9994672	0.011008	TNR	8111	ncHAE
chr1:175722669-175722968	0.153180642045501	1	2.20828201970443	1.23907942643952e-14	299	0.984127	0.1089	4	0.001	3	3	0.865	0.9990724	0.0256602	TNR	-9913	ncHAE
chr1:177009218-177009518	0.0268878185493125	1	3.35336612964121	2.34355573121228e-14	300	0.9761905	0.236	3	0	0	0	0.949	0.999933	0.003866616	ASTN1	124458	ncHAE
chr1:177087389-177087688	0.0896596257303034	1	2.6250398884173	0.741206750783917	299	0.99206349	0.0748	2	0.0014	3	0	0.775	0.9994517	0.01913599	ASTN1	46287	ncHAE
chr1:177332748-177333047	0.236603056385054	0.943403360532337	1.66138788683763	0.537102107648711	299	0.99206349	0.111	1	0.0024	3	0	1	0.9969109	0.1000671	FAM5B	192265	ncHAE
chr1:177580824-177581149	0.106430041973499	1	1.42579563194584	0.339432477045514	325	0.99206349	0	0	0.0024	3	0	0.999	0.9759688	0.3408271	SEC16B	358063	ncHAE
chr1:177864917-177865481	0.41832927983549	1	1.54491587919532	0.790146426859146	564	0.99206349	0.0282	2	4e-04	1	0	0.9735	0.9888787	0.09697273	SEC16B	73851	ncHAE
chr1:178363593-178363893	0.387778700262408	1	1.65409100608985	1.58395468190181e-14	300	0.9761905	0	0	0.0021	2	0	1	0.9944415	0.1333772	TEX35	-118469	ncHAE
chr1:181777883-181778183	0.0223224400747734	1	3.19496667973344	0.406441855444541	300	0.99206349	0	0	6e-04	1	0	0.989	0.9994966	0.01778104	ZNF648	252814	ncHAE
chr1:193932349-193932649	0.479635485975276	0.646991660241528	1.55201919133676	1.02173073824932	300	0.984127	0.03913	2	0.0021	2	0	1	0.9999196	0.02117564	B3GALT2	-776715	ncHAE
