chromosome	pval.human	pval.chimp	zeta.human	zeta.chimp	size	Specificity	maf_common	S_common	maf_rare	S_rare	eQTLs	PhastCons	PP_con	PP_acc	gene	dTSS	type
chr1:101298258-101298556	1	1	0.758732381839123	0.963660836380073	298	0.99206349	0	0	0.0046	3	0	0.0065	0.8298273	0.6746659	EXTL2	63147	NFR
chr1:101298926-101299224	0.992101474822269	0.439582487498052	0.974503378626992	0.9189941868325	298	0.99206349	0.4209	1	0.0034	1	0	0	0.7366164	0.8544612	EXTL2	62479	NFR
chr1:101754928-101755226	0.837170569097279	1	1.01554843155289	0.419079000814848	298	0.99206349	0.4161	1	0	0	0	0	0.869183	0.6137463	S1PR1	52633	NFR
chr1:101754961-101755259	0.875282502606623	1	0.910440774151821	0.404680686906	298	0.99206349	0.40885	2	0	0	0	0	0.8776777	0.6026588	S1PR1	52666	NFR
chr1:102029686-102029984	1	1	0.847385869864833	0.860982703861896	298	0.99206349	0.21875	2	0.0036	2	0	0.001	0.7842035	0.7153167	S1PR1	327391	NFR
chr1:102057828-102058126	0.739099150209757	0.679556059937234	1.05441231200333	1.35046853814091	298	0.99206349	0	0	8e-04	2	0	0.001	0.9078831	0.550622	S1PR1	355533	NFR
chr1:102108435-102108733	1	0.66933412872587	1.00613729375273	1.32445301731752	298	0.99206349	0.0106	1	0.0013985	4	0	0	0.8905728	0.5813887	OLFM3	354002	NFR
chr1:102466955-102467253	1	0.836302527681116	0.782755155837399	1.11510597239485	298	0.99206349	0.04875	2	0.004	2	0	0.007	0.8470582	0.6484199	OLFM3	-4518	NFR
chr1:103155561-103155859	1	1	0.814353044917514	0.791629645551317	298	0.99206349	0.1354	6	0.0013	2	1	0.002	0.6929066	0.7947321	COL11A1	418337	NFR
chr1:104437717-104438015	1	1	0.886491036902706	0.535263237075689	298	0.99206349	0.20705	2	0.002	1	0	0.001	0.8829209	0.5935882	AMY1C	144838	NFR
chr1:105066809-105067107	0.374170286416438	0.0557267425641542	1.60025031214342	2.90230927140739	298	0.99206349	0.2562	2	0	0	0	0	0.8741405	0.521658	AMY1C	773930	NFR
chr1:105385651-105385949	0.844275100985952	0.86151813465568	0.893190701013134	0.818498736996628	298	0.99206349	0.0923	5	0.003	1	0	0	0.8891914	0.5839434	AMY1C	1092772	NFR
chr1:105385728-105386026	0.825337481071028	1	0.896007042596905	0.402758209409132	298	0.99206349	0.0923	5	0.003	1	0	0	0.8700606	0.6110086	AMY1C	1092849	NFR
chr1:105440715-105441013	0.637283908943557	1	1.11963658286864	0.484806954649498	298	0.99206349	0.0321	6	0.002	3	0	0.001	0.802049	0.6969056	AMY1C	1147836	NFR
chr1:105440960-105441258	0.875187133991108	1	1.12264783608575	0.520824088297207	298	0.99206349	0.0321	1	0.0016	3	0	0.005	0.8702777	0.6149295	AMY1C	1148081	NFR
chr1:105601459-105601757	1	0.400490190140815	0.965578627414149	1.72892505067052	298	0.99206349	0.012	3	6e-04	1	0	0	0.8031744	0.6985791	AMY1C	1308580	NFR
chr1:105734306-105734604	0.34707790378101	1	0.846788353801849	0.837867796077393	298	0.99206349	0.1035	2	0.0032	4	0	0	0.8825854	0.5958292	AMY1C	1441427	NFR
chr1:105905699-105905997	1	1	0.80048593244061	0.647690756490809	298	0.99206349	0	0	0.0012	3	0	0	0.7854275	0.7188831	AMY1C	1612820	NFR
chr1:106803059-106803357	0.458566229049386	0.349697646415575	1.51501191562497	1.7403080056001	298	0.99206349	0.26685	2	0.0014	1	0	0.0175	0.911059	0.4519502	PRMT6	-796093	NFR
chr1:106804372-106804670	0.755101427737115	0.433360619986362	1.03958084532706	1.14628909415006	298	0.99206349	0.04625	4	8e-04	5	0	0.028	0.8954088	0.5690483	PRMT6	-794780	NFR
chr1:106837957-106838255	0.684820431805173	0.608902636158363	1.09038686341749	1.42193221095979	298	0.99206349	0.24225	2	0.0041	6	0	0	0.8724245	0.6047678	PRMT6	-761195	NFR
chr1:106984009-106984307	0.658989010852954	0.196112869199008	1.2015010846445	1.95479946362491	298	0.99206349	0.1201	2	0.0021	4	0	0.705	0.901187	0.5549158	PRMT6	-615143	NFR
chr1:107197505-107197803	0.441055017717504	0.472993540886579	1.52125222626665	1.07911203458241	298	0.99206349	0.2579	2	0.0026	3	0	0	0.7298414	0.7618975	PRMT6	-401647	NFR
chr1:107215133-107215431	0.76389003982849	0.251876405373767	1.03553915396485	1.46741078726315	298	0.99206349	0.2187	3	0.0066	3	0	0.245	0.8941699	0.5700074	PRMT6	-384019	NFR
chr1:107431219-107431517	1	1	1.01181674169615	0.397662812652307	298	0.99206349	0.0787	1	0.0012	2	0	0	0.7340232	0.8521614	PRMT6	-167933	NFR
chr1:107505876-107506174	0.562628215763718	0.367908058902632	1.2339930390436	1.90250532765837	298	0.99206349	0.4443	1	0	0	1	0	0.8117119	0.6867231	PRMT6	-93276	NFR
chr1:108539263-108539561	1	1	0.802724154335361	0.835807258530045	298	0.99206349	0.2664	1	0.0017	2	1	0	0.6666906	0.8123564	VAV3	-31646	NFR
chr1:110787715-110788013	0.600147162428202	0.614411999608811	0.838019620985924	0.802690850058687	298	0.99206349	0.1214	1	0.0034	3	0	0	0.9159771	0.532697	KCNC4	33769	NFR
chr1:111526056-111526354	1	0.697261884385967	0.83183820495653	1.14185167330576	298	0.99206349	0.03375	3	0.0012	1	1	0.051	0.7313313	0.768162	LRIF1	-19504	NFR
chr1:112772706-112773004	1	1	0.490941801717551	0.405319693574029	298	0.99206349	0.0317	1	0.0026	5	0	0.006	0.9208779	0.6795112	CTTNBP2NL	-165948	NFR
chr1:112772709-112773007	1	1	0.470059630967703	0.408914069073754	298	0.99206349	0.0317	1	0.0026	5	0	0.006	0.9264181	0.6679979	CTTNBP2NL	-165945	NFR
chr1:117383280-117383578	1	1	0.887314592549977	0.680449798415492	298	0.99206349	0	0	0.0086	11	0	0	0.8344355	0.6605234	PTGFRN	-69250	NFR
chr1:119012413-119012711	0.899480951394766	0.243125778269463	1.10079230834792	1.58296172003536	298	0.99206349	0.0292	1	0.0034	1	0	0	0.8516399	0.640479	SPAG17	-284716	NFR
chr1:119031868-119032166	0.507516566951474	1	1.63776919002442	0.985946737201442	298	0.99206349	0	0	0.0016	5	0	0	0.7518379	0.7438684	SPAG17	-304171	NFR
chr1:119031937-119032235	0.530947398899103	1	1.50173228346457	0.993208924685049	298	0.99206349	0	0	0.0018	2	0	0	0.8314078	0.5861808	SPAG17	-304240	NFR
chr1:119127111-119127409	0.91069606931542	0.300486464971406	0.924985624821062	1.30164013692191	298	0.99206349	0.0184	1	0.003	1	0	0	0.8027156	0.7026562	SPAG17	-399414	NFR
chr1:152223470-152223768	1	1	0.438357981470981	0.420557218228379	298	0.99206349	0	0	0.0092	1	0	0.004	0.9538168	0.6037744	HRNR	-26950	NFR
chr1:152547333-152547631	0.923727683616652	1	1.02381810531903	0.41779953411097	298	0.99206349	0.1166	1	0.0012	1	0	0.003	0.854907	0.6343948	LCE3D	5498	NFR
chr1:152547375-152547673	0.978356589438942	1	1.00592081046402	0.280132654763891	298	0.99206349	0.1166	1	9e-04	2	0	0.003	0.804382	0.6951911	LCE3D	5456	NFR
chr1:157195770-157196068	1	1	0.945308454351008	0.376983867660281	298	0.99206349	0.4181	7	0.0027	2	5	0.0045	0.795019	0.7065672	ETV3	-87760	NFR
chr1:157830917-157831215	1	1	0.921248234004935	0.359042842777447	298	0.99206349	0.02	1	0.0026	2	0	0.997	0.8069188	0.6932756	CD5L	-19478	NFR
chr1:158739261-158739559	1	1	0.975357931885347	0.354842119032047	298	0.99206349	0.1076	3	0.0014	2	0	0	0.8541476	0.6368269	OR6N1	-2918	NFR
chr1:158855209-158855507	0.361273938284364	0.426477805114303	1.05352255803234	1.94297916181037	298	0.99206349	0.2183	4	0	0	3	0	0.9699049	0.2819074	PYHIN1	-45984	NFR
chr1:158871748-158872046	0.761868484027837	0.708175656695476	1.01223339317245	1.34784723288793	298	0.99206349	0.2183	4	0.0026	1	2	0	0.8250724	0.6704946	PYHIN1	-29445	NFR
chr1:159197070-159197368	1	1	0.555848609806884	0.627208298149288	298	0.99206349	0	0	0.0025	4	0	0	0.8684816	0.751095	DARC	22018	NFR
chr1:159522048-159522346	0.333056236420229	0.244338035444007	1.02822066326531	1.53205857339087	298	0.99206349	0.096	1	0.0045	2	0	0	0.8487916	0.6432491	OR10J5	-16355	NFR
chr1:159522050-159522348	0.283954789188322	0.341470696443411	1.02929201674346	1.18757748143342	298	0.99206349	0.096	1	0.0045	2	0	0	0.8186395	0.6804895	OR10J5	-16357	NFR
chr1:159546637-159546935	1	0.0853321069543804	0.992320407843416	1.88086906778402	298	0.99206349	0	0	0.0012	1	0	0.001	0.8991427	0.5666892	APCS	-10829	NFR
chr1:159569197-159569495	0.845126214849032	0.819217163894548	1.1388774867509	1.17461956447164	298	0.99206349	0.0499	3	8e-04	1	0	0	0.8443624	0.6482489	APCS	11731	NFR
chr1:163446400-163446698	1	1	0.481338226602339	0.90439728329022	298	0.99206349	0	0	0	0	0	0.002	0.9016597	0.7084572	NUF2	154805	NFR
chr1:163828454-163828752	1	1	0.630884847571836	0.917184743246262	298	0.99206349	0	0	0.0016	4	0	0	0.8131072	0.8032627	NUF2	536859	NFR
