chromosome	pval.human	pval.chimp	zeta.human	zeta.chimp	size	Specificity	maf_common	S_common	maf_rare	S_rare	eQTLs	PhastCons	PP_con	PP_acc	gene	dTSS	type
chr1:10003301-10003595	0.256059745376653	1	1.36910986068944	1.74703033233759e-14	294	0	0.1627	3	0.0023	2	3	0	0.8377042	0.586813	NMNAT1	-38	DHS
chr1:10010441-10010750	0.651806632016294	1	0.865870619672665	1.54451005119554e-14	309	0	0	0	0.0052	1	0	0	0.8849417	0.5884649	NMNAT1	7110	DHS
chr1:100274246-100274595	1	1	2.10921705421381e-14	0.89592905758917	349	0.00793699999999997	0.11765	2	4e-04	3	1	0	0.3912076	1	AGL	-41624	DHS
chr1:10061566-10061875	1	1	4.69385643100709e-14	0.534060632763275	309	0.9761905	0.0463	1	0.0052	1	0	NA	0.3162476	1	RBP7	4447	DHS
chr1:100715301-100715575	1	0.906363584856043	0.593997130258735	1.07998301433608	274	0	0.15855	2	0.0024	2	1	0.0045	0.6588476	0.888763	DBT	-48	DHS
chr1:100732841-100733150	1	1	0.444939800481596	0.384851445045389	309	0.9761905	0.03015	2	0.0028	1	0	NA	0.9014814	0.7087503	RTCA	1191	DHS
chr1:100765306-100765610	0.166911281733127	1	2.19241158405706	0.191705429754443	304	0.9761905	0.1879	3	6e-04	3	2	NA	0.9994385	0.01943676	RTCA	33653	DHS
chr1:100925106-100925390	0.0530425474730282	1	2.31359211508095	0.464599526227759	284	0.0317460000000001	0.0593	2	0.0044	1	0	0	0.993561	0.1050664	GPR88	-78445	DHS
chr1:101704321-101704610	1	1	0.424236224350406	4.88232225764759e-14	289	0.00793699999999997	0.1094	3	0.0028	3	0	0.026	0.9425778	0.6370614	S1PR1	2022	DHS
chr1:101798246-101798555	1	1	0.455676450978525	0.70976261024611	309	0.968254	0	0	7e-04	4	0	NA	0.7196773	0.8641023	S1PR1	95957	DHS
chr1:101844721-101845035	1	1	0.429384314277633	1.85980393747195e-14	314	0.968254	0	0	0.0052	2	0	NA	0.7301564	0.8591667	S1PR1	142434	DHS
chr1:101906101-101906410	0.160403500614973	1	2.0935418305964	1.90796996198894e-14	309	0.968254	0.1247	2	0.0042	2	0	NA	0.9965174	0.05826704	S1PR1	203812	DHS
chr1:10192906-10193210	1	0.88517739900672	0.515537488581068	1.21503525333603	304	0.9761905	0.0659	2	0.0055	4	2	NA	0.5989859	0.9130918	KIF1B	-77805	DHS
chr1:103127106-103127415	0.301538898284608	1	1.41900007980788	0.416387322183602	309	0.968254	0.0106	1	0.002	5	0	NA	0.7790783	0.6538688	COL11A1	446786	DHS
chr1:10437381-10437770	1	1	2.2940629334042e-14	0.281253016320139	389	0.015873	0.0246	2	0.0014	1	1	NA	0.3944236	1	PGD	-21561	DHS
chr1:10531521-10532790	1	1	0.428603770924728	0.293974221120921	1269	0.952381	0.012	1	0.0016	10	0	NA	0.2492266	0.9437837	DFFA	427	DHS
chr1:105644281-105644590	1	0.0435829015203253	0.421087759914689	2.37671178994378	309	0.968254	0	0	0.0033	2	0	NA	0.3931578	0.9632532	AMY1C	1351408	DHS
chr1:10567521-10567910	0.878333864770778	1	1.17189929257744	4.49253073195583e-14	389	0.015873	0.27905	2	0.0088	3	1	NA	0.9845474	0.2085941	PEX14	32772	DHS
chr1:106996461-106996775	0.15669364841872	0.111154910233921	2.13383441744649	2.42090843017321	314	0.968254	0.02975	6	0.0022	3	1	NA	0.938599	0.3308636	PRMT6	-602683	DHS
chr1:107504226-107504530	1	1	1.64963274899618e-14	1.64609477100763e-14	304	0.9761905	0	0	0.0012	1	0	NA	0.9288735	1	PRMT6	-94923	DHS
chr1:107598166-107598475	0.0504390234289841	1	2.84742824034746	0.495643850780865	309	0.968254	0.0555	1	0.0068	6	0	NA	0.9973841	0.0491953	PRMT6	-980	DHS
chr1:107675521-107675830	1	1	1.03503457473706	0.285911459924747	309	0.9761905	0.11375	2	0.0012	1	1	NA	0.9785415	0.3321477	NTNG1	-7766	DHS
chr1:108439661-108439970	1	0.712903629309197	1.852355414558e-14	1.29120984436096	309	0.9761905	0.0615	1	8e-04	4	0	NA	0.3755939	1	VAV3	67950	DHS
chr1:108668181-108668450	0.787185899479362	1	1.04458179795592	1.57925099494653e-14	269	0.02381	0.02975	3	0	0	0	0.001	0.9467014	0.4561318	SLC25A24	74664	DHS
chr1:10880586-10880895	0.669562761695269	0.970886409502757	1.4365387959314	0.788967811621328	309	0.9761905	0.016	1	0.0012	3	0	NA	0.9941916	0.134191	CASZ1	-24036	DHS
chr1:10890141-10890450	1	1	0.395163945879937	0.349124637106421	309	0.9761905	0.2472	5	0.0035	6	1	NA	0.6450744	0.8966395	CASZ1	-33591	DHS
chr1:109067341-109067650	0.0517759374518053	1	2.27217078111898	0.684873910195188	309	0.9761905	0.0124	2	0.0062	2	0	NA	0.9787478	0.1638204	HENMT1	136652	DHS
chr1:109139981-109140295	1	1	0.718679985165907	0.40564062482526	314	0.968254	0.0286	1	0.0027	2	0	NA	0.8343218	0.6706011	HENMT1	64010	DHS
chr1:109234801-109236310	0.24641873294925	1	0.547032543702584	0.304281407139619	1509	0.015873	0.0214	3	0.0012	11	0	0.985	0.9360383	0.271879	PRPF38B	611	DHS
chr1:109289026-109289395	0.918539079826303	1	0.710834820787427	0.293780291598797	369	0	0.4199	2	0.0016	7	2	0	0.5293315	0.93336	STXBP3	-99	DHS
chr1:109364961-109365275	1	1	0.929940047192341	3.28584081019677e-14	314	0.9761905	0.0156	3	0.0056	2	0	NA	0.9081366	0.5481491	AKNAD1	34598	DHS
chr1:109505561-109506250	1	1	0.920446979162962	0.153487619321866	689	0.888889	0.03	3	0.0016	3	3	0	0.6116088	0.7308821	CLCC1	205	DHS
chr1:109618526-109619055	1	1	0.473835344395093	0.730458482789238	529	0	0	0	0.0015	4	0	0	0.1789946	0.9807422	TAF13	-167	DHS
chr1:109642621-109642890	0.0183572859869008	1	3.41963673184483	0.937069120537735	269	0	0.0162	3	0.0016	5	1	0	0.9983037	0.02919484	TMEM167B	9399	DHS
chr1:109655301-109655590	0.99887162153116	1	1.68742560549602e-14	0.917157371439326	289	0	0.4157	1	0.0016	2	1	0	0.5569344	1	KIAA1324	-1177	DHS
chr1:109727146-109727455	1	1	0.470027165449701	0.371726154498822	309	0.9761905	0.2555	2	0.0076	1	1	NA	0.6703488	0.8846134	SARS	-29239	DHS
chr1:109756361-109757315	0.440274048778402	1	0.920879778909406	0.712269765815603	954	0.81746	0.0194	2	0.001	9	1	0	0.8279088	0.4495499	SARS	298	DHS
chr1:109757786-109758095	1	0.618314253988784	0.126865512697637	1.1528939789182	309	0.9761905	0	0	0.0012	5	0	NA	0.7198682	1	SARS	1401	DHS
chr1:109820121-109820490	1	1	0.808953772880923	0.528911624110994	369	0	0	0	0.0014	3	0	0	0.8779875	0.6006021	PSRC1	5484	DHS
chr1:109825726-109826195	1	1	0.259829771430583	0.521720649494177	469	0	0.0296	3	9e-04	4	1	0	0.215622	0.9867965	PSRC1	-171	DHS
chr1:109967901-109969515	1	1	0.835798281288068	0.433103349006813	1614	0.9761905	0.0329	7	0.0012	11	1	0.001	0.6557149	0.6132688	PSMA5	265	DHS
chr1:110036546-110037210	1	1	1.27003124005669e-14	0.186304411507682	664	0.015873	0.0815	3	0.0012	5	3	0.018	0.172859	1	CYB561D1	142	DHS
chr1:110074926-110075190	0.663493188151756	1	1.22072802797083	0.9610032055961	264	0.0317460000000001	0.25895	2	0	0	2	0	0.8820471	0.5921722	GPR61	-7436	DHS
chr1:110088966-110089835	0.96289673939815	1	0.526170848618023	0.945977284746042	869	0.015873	0.0166	1	0.001	2	0	0.041	0.8040598	0.6222267	GNAI3	-1832	DHS
chr1:110091006-110091290	1	0.911712844315037	2.78109255480664e-14	1.11101269283343	284	0	0.1078	3	6e-04	2	2	0	0.4035132	1	GNAI3	-85	DHS
chr1:110161346-110163795	1	0.963588539876491	0.344005136759235	0.431997771825859	2449	0.896825	0.1294	6	0.001	9	4	0.001	0.2321041	0.9335696	AMPD2	-705	DHS
chr1:110186006-110186290	1	1	2.31161897625626e-14	0.507214995197406	284	0.015873	0	0	0.0026	1	0	0	0.5973381	1	GSTM4	-12555	DHS
chr1:110197166-110197475	1	1	6.01548052329338e-14	6.34950897090204e-14	309	0.9761905	0.3962	1	0.0016	3	1	NA	0.4404072	1	GSTM4	-1382	DHS
chr1:110316341-110316595	1	1	3.656012039174e-14	0.412675942616204	254	0.00793699999999997	0.03205	2	0.0024	4	0	0	0.2775943	1	EPS8L3	-9819	DHS
chr1:110319541-110319855	1	1	0.44738821880678	0.956137196677957	314	0.00793699999999997	0.0603	7	0.0049	6	2	0	0.5572787	0.9266495	EPS8L3	-13049	DHS
chr1:110573101-110573410	1	1	0.452559723267308	0.461907248827692	309	0.9761905	0.015	1	0	0	0	NA	0.8705398	0.7485282	STRIP1	-3982	DHS
chr1:110640061-110640375	1	1	0.483694944114697	0.48170108300636	314	0.968254	0.3628	1	8e-04	3	0	NA	0.7939945	0.8154535	UBL4B	-14844	DHS
chr1:110684546-110684855	1	0.718152257806793	3.71950477581067e-14	1.31767965314955	309	0.9761905	0.0102	1	0.0028	2	0	NA	0.3722574	1	SLC6A17	-8407	DHS
chr1:110740086-110740395	1	1	0.421394553796641	0.293103416996998	309	0.9761905	0.0124	3	6e-04	1	1	NA	0.8142035	0.8023119	KCNC4	-13854	DHS
chr1:110745626-110746355	1	1	0.751571559959598	0.700289588405995	729	0.055556	0.2835	1	0.0011	6	1	0	0.6618982	0.7546654	KCNC4	-8104	DHS
chr1:110855201-110855495	1	1	0.85729058202578	0.546522860914437	294	0.02381	0.4551	1	0.0023	4	1	0.003	0.8714645	0.6146471	RBM15	-25780	DHS
chr1:110955181-110955450	1	1	0.581353742172746	0.522612489163567	269	0.02381	0.3305	1	0.005	1	1	0	0.8686168	0.7530118	LAMTOR5	-4752	DHS
chr1:110973401-110973715	1	0.775675058296221	2.05655281022951e-14	0.88882520938645	314	0.9761905	0	0	8e-04	1	0	NA	0.4638284	1	PROK1	-20264	DHS
chr1:11097681-11098315	1	1	0.256111399798297	0.677620066385677	634	0.02381	0.1262	3	0.0013	6	0	NA	0.2239039	0.9853359	MASP2	9282	DHS
chr1:110990606-110990915	0.749214838452291	1	0.931256696355328	0.377381233283856	309	0.9761905	0	0	0	0	0	NA	0.8826124	0.5926002	PROK1	-3061	DHS
chr1:111088746-111089055	1	0.964633707617287	0.777181627240505	0.210714918119872	309	0.968254	0.03385	6	0.0014	2	0	NA	0.7270287	0.7690297	KCNA10	-27104	DHS
chr1:111506486-111506855	1	0.0699817624456643	0.348846602696267	2.43073616968038	369	0.00793699999999997	0	0	0.0011	4	0	0	0.5068377	0.939398	LRIF1	30	DHS
chr1:111750046-111750355	0.629891440994883	1	1.43846500570055	0.604542321092542	309	0.9761905	0.132	1	0.002	2	1	NA	0.9847368	0.2091355	CHI3L2	6808	DHS
chr1:112050006-112051115	1	1	0.520527693782201	0.356936603363796	1109	0.888889	0.03445	6	8e-04	3	0	0	0.2335212	0.9495488	ADORA3	-4451	DHS
chr1:112060766-112061075	1	1	0.464952602923574	2.11292957673551e-14	309	0.9761905	0.1651	1	5e-04	2	0	NA	0.8041325	0.8108259	ADORA3	-14811	DHS
chr1:11211506-11211810	1	1	0.616266240108118	0.579993589237651	304	0.968254	0.0972	3	0.0042	1	3	NA	0.7754956	0.8274256	ANGPTL7	-37740	DHS
chr1:112144686-112144990	1	1	1.94472587274938e-14	0.28668620327903	304	0.9761905	0.0114	1	0	0	0	NA	0.4445557	1	RAP1A	-17567	DHS
chr1:112241401-112241715	1	0.253856611299166	1.6049692610873e-14	1.28036987001462	314	0.9761905	0.2393	2	0.0046	2	0	NA	0.4516427	1	DDX20	-56369	DHS
chr1:112289901-112290195	1	1	0.944102984879095	3.930908882727e-14	294	0.0317460000000001	0.25935	2	0	0	2	0	0.8791122	0.60021	DDX20	-7879	DHS
chr1:112346886-112347195	0.597170892879307	1	1.05160855192227	2.62167467767549e-14	309	0.968254	0.0796	2	8e-04	2	1	NA	0.9015838	0.5554288	DDX20	49114	DHS
